2008,1,3,50000
2008,1,4,49892
2008,1,7,49881
2008,1,8,49800
2008,1,9,49814
2008,1,10,49879
2008,1,11,49879
2008,1,14,49879
2008,1,15,49879
2008,1,16,49879
2008,1,17,49879
2008,1,18,49879
2008,1,22,49889
2008,1,23,49881
2008,1,24,49918
2008,1,25,49947
2008,1,28,50006
2008,1,29,50006
2008,1,30,50006
2008,1,31,50006
2008,2,1,50006
2008,2,4,50006
2008,2,5,50006
2008,2,6,49981
2008,2,7,49975
2008,2,8,49963
2008,2,11,49992
2008,2,12,50018
2008,2,13,50018
2008,2,14,50018
2008,2,15,50006
2008,2,19,49972
2008,2,20,49920
2008,2,21,49900
2008,2,22,49940
2008,2,25,49940
2008,2,26,49940
2008,2,27,49940
2008,2,28,49940
2008,2,29,49940
2008,3,3,49940
2008,3,4,49940
2008,3,5,49940
2008,3,6,49940
2008,3,7,49940
2008,3,10,49940
2008,3,11,49940
2008,3,12,49940
2008,3,13,49940
2008,3,14,49940
2008,3,17,49940
2008,3,18,49940
2008,3,19,49940
2008,3,20,49940
2008,3,24,49940
2008,3,25,49940
2008,3,26,49940
2008,3,27,49916
2008,3,28,49933
2008,3,31,49955
2008,4,1,49993
2008,4,2,49975
2008,4,3,49975
2008,4,4,49975
2008,4,7,49975
2008,4,8,49975
2008,4,9,49976
2008,4,10,49992
2008,4,11,49970
2008,4,14,49915
2008,4,15,49963
2008,4,16,50042
2008,4,17,50067
2008,4,18,50054
2008,4,21,50031
2008,4,22,50042
2008,4,23,50003
2008,4,24,50032
2008,4,25,50054
2008,4,28,50054
2008,4,29,50054
2008,4,30,50054
2008,5,1,50054
2008,5,2,50054
2008,5,5,50054
2008,5,6,50054
2008,5,7,50054
2008,5,8,50054
2008,5,9,50054
2008,5,12,50054
2008,5,13,50054
2008,5,14,50054
2008,5,15,50054
2008,5,16,50054
2008,5,19,50047
2008,5,20,50005
2008,5,21,49972
2008,5,22,49975
2008,5,23,49942
2008,5,27,49964
2008,5,28,49957
2008,5,29,49957
2008,5,30,49957
2008,6,2,49957
2008,6,3,49957
2008,6,4,49957
2008,6,5,49957
2008,6,6,49916
2008,6,9,49870
2008,6,10,49882
2008,6,11,49812
2008,6,12,49827
2008,6,13,49827
2008,6,16,49827
2008,6,17,49827
2008,6,18,49827
2008,6,19,49872
