,AAPL,GOOG,IBM,MSFT,$SPX
2010-01-04 16:00:00,,,,,
2010-01-05 16:00:00,,,,,
2010-01-06 16:00:00,,,,,
2010-01-07 16:00:00,,,,,
2010-01-08 16:00:00,,,,,
2010-01-11 16:00:00,,,,,
2010-01-12 16:00:00,,,,,
2010-01-13 16:00:00,,,,,
2010-01-14 16:00:00,,,,,
2010-01-15 16:00:00,,,,,
2010-01-19 16:00:00,,,,,
2010-01-20 16:00:00,,,,,
2010-01-21 16:00:00,,,,,
2010-01-22 16:00:00,,,,,
2010-01-25 16:00:00,,,,,
2010-01-26 16:00:00,,,,,
2010-01-27 16:00:00,,,,,
2010-01-28 16:00:00,,,,,
2010-01-29 16:00:00,,,,,
2010-02-01 16:00:00,-1.88696518541,-1.39707180958,-1.27738320074,-1.86770772099,-1.26459532783
2010-02-02 16:00:00,-1.52001665113,-1.33969834516,-0.915768232462,-1.5907376386,-0.655729411051
2010-02-03 16:00:00,-0.926939600813,-0.940879689422,-0.793402728118,-1.26611393503,-0.806365307659
2010-02-04 16:00:00,-1.73531065237,-1.30930933065,-1.43826612048,-1.81855202049,-1.80743467072
2010-02-05 16:00:00,-1.13461953223,-1.03931903642,-1.15610851938,-1.45052878435,-1.50355728395
2010-02-08 16:00:00,-1.19128097907,-0.876421514575,-1.31896262108,-1.53547319701,-1.60777330052
2010-02-09 16:00:00,-0.819900754661,-0.689854829699,-0.856842630712,-1.14536310992,-1.05784170318
2010-02-10 16:00:00,-0.875979162647,-0.692528159534,-0.875530173872,-1.05233605643,-1.02917885948
2010-02-11 16:00:00,-0.318312239095,-0.534325210219,-0.54517902957,-0.849413845091,-0.611938142495
2010-02-12 16:00:00,-0.00770407654888,-0.612781871671,-0.388760658057,-0.939670108432,-0.644617648385
2010-02-16 16:00:00,0.472180587017,-0.115379691885,0.106566760482,-0.335554247354,0.193647360469
2010-02-17 16:00:00,0.511419477759,-0.182034222088,0.87082165068,0.0396183220907,0.604856886791
2010-02-18 16:00:00,0.75043168942,0.353844573403,1.84838093007,0.734355228886,1.26768092204
2010-02-19 16:00:00,0.611725068967,0.676384810696,1.65608769029,0.584650399698,1.49874508152
2010-02-22 16:00:00,0.303149490461,1.25850598659,1.3276968393,0.541089824219,1.3108182393
2010-02-23 16:00:00,-0.381430527146,-0.262915037067,1.05891377497,-0.085641166379,0.499159775747
2010-02-24 16:00:00,0.527122427632,-0.908766666508,1.51666633046,0.567223201463,1.07960585954
2010-02-25 16:00:00,1.06147502589,-1.73083462804,1.17444127484,0.706582271449,0.914345605568
2010-02-26 16:00:00,1.59567114689,-1.48236467521,1.10208249888,0.978951649318,0.924842710786
2010-03-01 16:00:00,2.29217585497,-0.402595527465,1.61949592173,1.61458570931,1.39608864087
